MasVnrType_Stone,ExterQual_Gd,Age,WoodDeckSF,EnclosedPorch,BsmtQual_Gd,BldgType_Twnhs,BsmtFinSF2,Exterior1st_CemntBd,GarageFinish_Unf,Exterior1st_VinylSd,GarageType_Attchd,HalfBath,FireplaceQu_no_fireplace,GrLivArea,MSSubClass,Neighborhood_NridgHt,FullBath,BsmtFinSF1,Neighborhood_NoRidge,Foundation_CBlock,GarageArea,BsmtUnfSF,BsmtExposure_Gd,GarageFinish_RFn,Exterior1st_BrkFace,HeatingQC_TA,Condition1_Norm,Functional_Typ,Neighborhood_Crawfor,MSZoning_RM,1stFlrSF,BldgType_Duplex,MasVnrArea,BldgType_TwnhsE,Neighborhood_StoneBr,KitchenQual_Fa,ScreenPorch,MSZoning_FV,AgeRemod,GarageType_BuiltIn,LotArea,OpenPorchSF,BsmtFinType1_GLQ,OverallQual,LotFrontage,OverallCond,BsmtQual_Fa,SalePrice
0,1,5,0,0,1,0,0,0,0,1,1,1,1,1710,60,0,2,706,0,0,548,150,0,1,0,0,1,1,0,0,856,0,196.0,0,0,0,0,0,5,0,8450,61,1,7,65.0,5,0,208500
0,0,31,298,0,1,0,0,0,0,0,1,0,0,1262,20,0,2,978,0,1,460,284,1,1,0,0,0,1,0,0,1262,0,0.0,0,0,0,0,0,31,0,9600,0,0,6,80.0,8,0,181500
0,1,7,0,0,1,0,0,0,0,1,1,1,0,1786,60,0,2,486,0,0,608,434,0,1,0,0,1,1,0,0,920,0,162.0,0,0,0,0,0,6,0,11250,42,1,7,68.0,5,0,223500
0,0,91,0,272,0,0,0,0,1,0,0,0,0,1717,70,0,1,216,0,0,642,540,0,0,0,0,1,1,1,0,961,0,0.0,0,0,0,0,0,36,0,9550,35,0,7,60.0,5,0,140000
0,1,8,192,0,1,0,0,0,0,1,1,1,0,2198,60,0,2,655,1,0,836,490,0,1,0,0,1,1,0,0,1145,0,350.0,0,0,0,0,0,8,0,14260,84,1,8,84.0,5,0,250000
0,0,16,40,0,1,0,0,0,1,1,1,1,1,1362,50,0,1,732,0,0,480,64,0,0,0,0,1,1,0,0,796,0,0.0,0,0,0,0,0,14,0,14115,30,1,5,85.0,5,0,143000
1,1,3,255,0,0,0,0,0,0,1,1,0,0,1694,20,0,2,1369,0,0,636,317,0,1,0,0,1,1,0,0,1694,0,186.0,0,0,0,0,0,2,0,10084,57,1,8,75.0,5,0,307000
0,0,77,90,205,0,0,0,0,1,0,0,0,0,1774,50,0,2,0,0,0,468,952,0,0,1,0,0,0,0,1,1022,0,0.0,0,0,0,0,0,58,0,6120,0,0,7,51.0,5,0,129900
0,0,69,0,0,0,0,0,0,0,0,1,0,0,1077,190,0,1,851,0,0,205,140,0,1,0,0,0,1,0,0,1077,0,0.0,0,0,0,0,0,58,0,7420,4,1,5,50.0,6,0,118000
0,0,43,0,0,0,0,0,0,1,0,0,0,1,1040,20,0,1,906,0,1,384,134,0,0,0,0,1,1,0,0,1040,0,0.0,0,0,0,0,0,43,0,11200,0,0,5,70.0,5,0,129500
